Date,Close/Last,Volume,Open,High,Low
04/21/2023,27334.00,N/A,28245.80,27336.90,27165.70
04/20/2023,28304.80,N/A,28848.10,28353.40,28109.20
04/19/2023,28846.40,N/A,30212.80,28992.90,28606.00
04/18/2023,30207.20,N/A,29450.70,30408.40,30153.30
04/17/2023,29477.70,N/A,29984.10,29490.00,29149.20
04/16/2023,29983.40,N/A,30254.20,30312.20,29786.10
04/15/2023,30260.90,N/A,30379.10,30322.90,30134.60
04/14/2023,30390.00,N/A,30695.10,30586.50,30302.30
04/13/2023,30706.50,N/A,30079.60,30836.80,30327.60
04/12/2023,30068.50,N/A,29931.10,30153.70,29864.50
